Cargo,Empresa,Localização,Data/Período,Link da Vaga,Remoto,Nível Sênior,Data da Coleta
Sr Systems Analyst (Remote - US),Jobgether,Estados Unidos,Há 1 dia,https://www.linkedin.com/jobs/view/sr-systems-analyst-remote-us-at-jobgether-4340062501?position=1&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=zdXoDCS1M5SrLxHJt4dhhw%3D%3D,true,true,"13/11/2025, 01:59:00"
Sr. Systems Analyst - Navy - Secret Required,cFocus Software Incorporated,"Dahlgren, Virgínia, Estados Unidos",Há 3 dias,https://www.linkedin.com/jobs/view/sr-systems-analyst-navy-secret-required-at-cfocus-software-incorporated-4339533781?position=3&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=2aHnyt2nv36%2B67V6dmBeJQ%3D%3D,false,true,"13/11/2025, 01:59:01"
Sr Systems Analyst - Customer Success,Samsara,Estados Unidos,Há 5 dias,https://www.linkedin.com/jobs/view/sr-systems-analyst-customer-success-at-samsara-4338185208?position=4&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=J1ol25wRbpT%2F1zPO8f1CNQ%3D%3D,false,true,"13/11/2025, 01:59:01"
NYS DOL HBITS-07-14417 Expert Systems Analyst (Business Analyst),Voyatek,"Albany, Nova York, Estados Unidos",Há 2 dias,https://www.linkedin.com/jobs/view/nys-dol-hbits-07-14417-expert-systems-analyst-business-analyst-at-voyatek-4321618628?position=9&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=%2BuTKcT8SDmqxocZ81fMxIg%3D%3D,false,false,"13/11/2025, 01:59:01"
Senior Systems Analyst | Electrical,Leonardo DRS,"Menomonee Falls, Wisconsin, Estados Unidos",Há 1 dia,https://www.linkedin.com/jobs/view/senior-systems-analyst-electrical-at-leonardo-drs-4340071764?position=10&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=X9B9V85QvSV7k1EYmDp39g%3D%3D,false,true,"13/11/2025, 01:59:01"
Advanced Process Control DCS Systems Analyst Sr.,PBF Energy,"Oregon, Ohio, Estados Unidos",Há 1 dia,https://www.linkedin.com/jobs/view/advanced-process-control-dcs-systems-analyst-sr-at-pbf-energy-4321837548?position=20&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=oPe8p6MsJqbP6Rzdonq12g%3D%3D,false,true,"13/11/2025, 01:59:01"
Senior Unifier Systems Analyst,OnIndus,Estados Unidos,Há 2 semanas,https://www.linkedin.com/jobs/view/senior-unifier-systems-analyst-at-onindus-4332850483?position=23&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=QW30VSN%2BzlOQxTGhTm34qQ%3D%3D,false,true,"13/11/2025, 01:59:01"
Sr. Payment Systems Analyst,Denny's,"Spartanburg, Carolina do Sul, Estados Unidos",Há 3 semanas,https://www.linkedin.com/jobs/view/sr-payment-systems-analyst-at-denny-s-4316968465?position=25&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=b6CNMmIHUPatj2f435yrUg%3D%3D,false,true,"13/11/2025, 01:59:01"
Senior Systems Analyst (DOORS Next Gen),Blue Star Partners,"Chicago, Ilinóis, Estados Unidos",Há 11 meses,https://www.linkedin.com/jobs/view/senior-systems-analyst-doors-next-gen-at-blue-star-partners-4083967147?position=28&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=lP6XYlwzNxg53hXPr4ub8g%3D%3D,false,true,"13/11/2025, 01:59:01"
Senior Systems Analyst – General,UST,"Aliso Viejo, Califórnia, Estados Unidos",Há 1 semana,https://www.linkedin.com/jobs/view/senior-systems-analyst-%E2%80%93-general-at-ust-4311999932?position=47&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=uN44dSO9%2FVg9oHo73L3VdA%3D%3D,false,true,"13/11/2025, 01:59:01"
Senior Systems Analyst (Job ID:3978),Valkyrie Enterprises,"Huntsville, Alabama, Estados Unidos",Há 1 mês,https://www.linkedin.com/jobs/view/senior-systems-analyst-job-id-3978-at-valkyrie-enterprises-4310943410?position=48&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=9Y3OcG5h5n2uswzw8sVjPg%3D%3D,false,true,"13/11/2025, 01:59:01"
Senior Cybersecurity Systems Analyst,FEDITC,"Tampa, Flórida, Estados Unidos",Há 3 semanas,https://www.linkedin.com/jobs/view/senior-cybersecurity-systems-analyst-at-feditc-4304966837?position=51&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=I4husWN9YSQyMfCee93exg%3D%3D,false,true,"13/11/2025, 01:59:01"
Senior Systems Analyst : Gainsight,Recorded Future,Estados Unidos,Há 6 dias,https://www.linkedin.com/jobs/view/senior-systems-analyst-gainsight-at-recorded-future-4321213407?position=53&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=o6W8srdnzweJZwXNnF5RmA%3D%3D,false,true,"13/11/2025, 01:59:01"
Sr. Finance Systems Analyst,Robert Half,"Bellevue, Washington, Estados Unidos",Há 1 semana,https://www.linkedin.com/jobs/view/sr-finance-systems-analyst-at-robert-half-4333116825?position=58&pageNum=0&refId=ykb6dcmIVHJD5N3jQMbULQ%3D%3D&trackingId=ueI55xXHH3qrNEPb7KJ13A%3D%3D,false,true,"13/11/2025, 01:59:01"
